name,unit,cat,sku,star_uid,grofer_uid,dmart_uid,amc_uid,bb_uid
Agaraj,kg,Fruits,EARA1,0,0,0,0,0
Alphonso Mango : 6 Pieces,6 pcs,Fruits and Vegetables,DNFMAN,0,0,0,0,0
Alphonso Mango : 6 Pieces,6 pcs,Fruits and Vegetables,DNFMAN2,0,0,0,0,0
Amla - Fraazo,kg,Fraazo,VAWL11,0,0,0,0,10000332
Amla (100 gm),gm,,,0,0,0,08006,40004383
Amla (250 gm),gm,,,0,0,0,0,10000293
Amla (500 gm),gm,,,0,0,0,0,10000294
Anjir fruits,kg,Fruits,FANJ1,0,0,0,0,0
Apple - Kashmir,kg,Fruits,FApp4,0,0,0,0,40033820
Apple - Kinnaur  Fraazo,kg,Fruits,FApp3,9444,0,0,0,0
Apple -Shimla,kg,Fruits,FAPP8,0,0,0,0,0
Apple ( Washington),kg,Fruits,FAPP1,0,0,0,0,0
Apple Ber Fruit - Fraazo,kg,Fraazo,FAPP81,0,0,0,0,20003958
Apple Green,kg,Fruits,FAPP2,0,0,0,0,0
Apple Green / Granny Smith  - Fraazo,kg,Fraazo,FAPP23,0,336515,0,0,40033817
Apple Kinnaur  - Fraazo,kg,Fraazo,FAPP33,0,0,0,0,0
Apple Red,4 pcs,Fruits and Vegetables,DNFRED,0,0,456032,0,0
Apple Royal Gala,4 pcs,Fruits and Vegetables,DNFROY,0,0,0,0,0
Apple Royal Gala  - Fraazo,kg,Fraazo,FAPP53,9441,311059,456031,0,40033823
Apple Shimla  - Fraazo,kg,Fraazo,FAPP63,0,317201,0,0,40033819
Apple Washington  - Fraazo,kg,Fraazo,FAPP73,0,190325,0,0,0
Apple-Custard,kg,Fruits,FAPP6,0,0,0,07028,0
Apple-Gala,kg,Fruits,FAPP5,0,0,0,0,0
Arbi,kg,Indian Vegetable,IARB1,0,0,0,08005,0
Arbi (Colocasia)  - Fraazo,kg,Fraazo,VARB12,7986,0,0,0,0
Asparagus,kg,Exotic,EASP1,0,0,0,0,30000418
Avocado,kg,Fruits,EAVO1,0,0,0,0,10000312
Avocado - Fraazo (1 Pc),unit,Fraazo,FAVO21,0,0,0,0,0
Avocado Imported,kg,Fruits,FAVO2,0,0,0,0,30009284
Awla,kg,Fruits,FAWL1,0,0,0,07042,0
Baby Corn - Fraazo 250gm,kg,Exotic,EBAC1,0,0,0,0,10000017
Baby Corn - Fraazo,kg,Fraazo,EBAB12,5976,0,279551,0,0
Baby Corn-Box8,kg,Exotic,EBAB2,0,0,0,0,0
Baby Orange - Fraazo,kg,Fraazo,FBAB1,0,0,0,0,20003955
Baby Potato,kg,Exotic,EBAB1,0,0,0,0,0
Baby Potato,kg,Bulk,BBAB1,0,0,0,0,0
Baby Potato - Fraazo,kg,Fraazo,VBAB11,7369,0,367751,0,0
Bag-Carry,kg,Fruits,FBAG4,0,0,0,0,0
Banana,dozen,Fruits,FBAN1,0,0,0,07014,0
Banana Elaichi / Yellaki  - Fraazo (1 Dozen),unit,Fraazo,FBAN24,8058,0,315504,0,0
Banana Kachcha,kg,Indian Vegetable,IBAN1,0,0,0,08040,0
Banana Leaf,piece,Indian Vegetable,LBAN1,0,0,0,0,20003762
Banana Raw  - Fraazo - 100GM,,,,7937,0,0,0,0
Banana Raw  - Fraazo,kg,Fraazo,VBAN12,0,0,0,0,40005827
Banana Robusta  - Fraazo (1 Dozen),unit,Fraazo,FBAN14,8643,0,0,0,0
Basil Italian  - Fraazo,kg,Fraazo,EBAS11,0,0,0,0,10000314
Basil leaves,kg,Exotic,GBas2,0,0,0,0,0
Bathua,bundle,Fruits,LBAT1,0,0,0,0,0
Beans Chawli  - Fraazo,kg,Fraazo,VCHA12,0,0,0,0,10000276
Beans Cluster  (Gavar)  - Fraazo,kg,Fraazo,VGAV12,7940,0,0,0,0
Beans Flat  - Fraazo,kg,Fraazo,VPPD12,0,0,0,0,0
Beans French  - Fraazo,kg,Fraazo,VFRE12,0,0,0,0,0
Beans Sprout,kg,Exotic,EBEA1,0,0,0,0,0
Beet Root - Big,kg,Indian Vegetable,IBEE1,0,0,0,08008,0
Beetroot - Fraazo,kg,Fraazo,VBEE12,8465,0,279552,0,0
Ber,kg,Fruits,FBER1,0,0,0,0,0
Ber-Indian,kg,Fruits,FBER6,0,0,0,0,0
Bhavnagari Chilly,kg,Indian Vegetable,IBHA1,0,0,0,0,0
Bhutta ( 1 Kg Is 2 Piece ),piece,Fruits,IBHU1,0,0,0,0,0
Bitter Gourd (Karela),300 gm,Fruits and Vegetables,DNFGOU,0,0,367619,0,0
